StoryId,Year,Month,Period,Views Total,Views Member,Views Non-Member,Reads Total,Reads Member,Reads Non-Member,,,
17816a2fa9fc,2023,1,2023-01,35,1,34,21,1,20,,,
1796c062cddf,2023,1,2023-01,160,5,155,107,4,103,,,
1b21e4cc6cc2,2023,1,2023-01,6,4,2,3,1,2,,,
1f9ed1b316f0,2023,1,2023-01,82,3,79,53,2,51,,,
1ff94afe7081,2023,1,2023-01,72,13,59,32,7,25,,,
207f804069e3,2023,1,2023-01,15,5,10,6,2,4,,,
23223b1cd512,2023,1,2023-01,17,8,9,9,6,3,,,
35b707dc4a33,2023,1,2023-01,32,19,13,11,8,3,,,
3c581b8f833d,2023,1,2023-01,16,13,3,6,5,1,,,
3c8cd4c2b821,2023,1,2023-01,17,1,16,11,1,10,,,
3fb649e1e310,2023,1,2023-01,368,1,367,202,1,201,,,
3fd1911b2b9e,2023,1,2023-01,24,4,20,15,3,12,,,
44c265a04fd1,2023,1,2023-01,8,0,8,3,0,3,,,
4758ad631fb4,2023,1,2023-01,88,43,45,48,25,23,,,
485f7e9ca45b,2023,1,2023-01,2,0,2,0,0,0,,,
4c5865c11ac7,2023,1,2023-01,135,24,111,60,8,52,,,
4cc3fd5064f0,2023,1,2023-01,48,25,23,28,18,10,,,
4d12cd266da5,2023,1,2023-01,62,4,58,27,2,25,,,
4e8ba5a61e10,2023,1,2023-01,20,4,16,14,3,11,,,
5328a98e029e,2023,1,2023-01,168,22,146,102,12,90,,,
564bc425c1db,2023,1,2023-01,3,2,1,1,1,0,,,
593cf3eb62b6,2023,1,2023-01,51,12,39,33,9,24,,,
597a6f6f7764,2023,1,2023-01,88,6,82,26,4,22,,,
59a7b21f1a95,2023,1,2023-01,0,0,0,0,0,0,,,
5a266ee948a9,2023,1,2023-01,49,16,33,30,7,23,,,
5a668c9e943e,2023,1,2023-01,30,8,22,10,5,5,,,
5b2950cb5211,2023,1,2023-01,8,4,4,4,2,2,,,
60fe1073a461,2023,1,2023-01,9,3,6,5,2,3,,,
6625670592a6,2023,1,2023-01,172,13,159,97,9,88,,,
72f8c124166b,2023,1,2023-01,34,12,22,18,8,10,,,
7437ff491837,2023,1,2023-01,8,5,3,4,3,1,,,
7af624109539,2023,1,2023-01,80,2,78,49,1,48,,,
89b41e58b206,2023,1,2023-01,14,0,14,5,0,5,,,
8b094203a306,2023,1,2023-01,24,14,10,19,9,10,,,
8feb51af9be8,2023,1,2023-01,26,7,19,15,7,8,,,
99338fc933cc,2023,1,2023-01,11,3,8,5,2,3,,,
b3e5b6d9743c,2023,1,2023-01,10,2,8,2,0,2,,,
b5df25113838,2023,1,2023-01,13,3,10,8,2,6,,,
b8507d45eef1,2023,1,2023-01,19,11,8,11,7,4,,,
bbb5afc30c79,2023,1,2023-01,3,0,3,2,0,2,,,
bc1a17c1248f,2023,1,2023-01,1200,74,1126,729,45,684,,,
bc1ea6ca3c6a,2023,1,2023-01,39,13,26,10,2,8,,,
bfaf81efc107,2023,1,2023-01,135,1,134,101,1,100,,,
c554bd8a6a19,2023,1,2023-01,4,2,2,2,1,1,,,
c969f9a26374,2023,1,2023-01,2,0,2,0,0,0,,,
ca00f0c75af7,2023,1,2023-01,2,1,1,0,0,0,,,
cb8d227aa93a,2023,1,2023-01,15,6,9,6,5,1,,,
d065c48d9192,2023,1,2023-01,3,2,1,2,2,0,,,
d0e44029e9c5,2023,1,2023-01,15,12,3,8,7,1,,,
d15dc615586f,2023,1,2023-01,10,3,7,6,2,4,,,
d61614458017,2023,1,2023-01,28,7,21,20,6,14,,,
dc4ef42135c2,2023,1,2023-01,26,0,26,5,0,5,,,
e39ca822908a,2023,1,2023-01,89,37,52,59,24,35,,,
ee9197913392,2023,1,2023-01,0,0,0,0,0,0,,,
f1a69146228b,2023,1,2023-01,10,2,8,8,2,6,,,
f541efadcdae,2023,1,2023-01,15,8,7,5,3,2,,,
f6d4859a6d6d,2023,1,2023-01,21,5,16,9,2,7,,,
1098430b01a7,2023,2,2023-02,29,13,16,13,10,3,,,
17816a2fa9fc,2023,2,2023-02,56,3,53,31,0,31,,,
1796c062cddf,2023,2,2023-02,127,8,119,81,5,76,,,
1b21e4cc6cc2,2023,2,2023-02,7,4,3,5,3,2,,,
1f9ed1b316f0,2023,2,2023-02,105,3,102,64,0,64,,,
1ff94afe7081,2023,2,2023-02,61,29,32,27,17,10,,,
207f804069e3,2023,2,2023-02,15,3,12,5,2,3,,,
23223b1cd512,2023,2,2023-02,3,0,3,1,0,1,,,
35b707dc4a33,2023,2,2023-02,29,23,6,13,11,2,,,
3c581b8f833d,2023,2,2023-02,13,7,6,7,2,5,,,
3c8cd4c2b821,2023,2,2023-02,20,0,20,14,0,14,,,
3fb649e1e310,2023,2,2023-02,448,8,440,233,6,227,,,
3fd1911b2b9e,2023,2,2023-02,65,11,54,43,8,35,,,
44c265a04fd1,2023,2,2023-02,1,0,1,0,0,0,,,
4758ad631fb4,2023,2,2023-02,57,19,38,34,12,22,,,
485f7e9ca45b,2023,2,2023-02,0,0,0,0,0,0,,,
4c5865c11ac7,2023,2,2023-02,869,31,838,339,12,327,,,
4cc3fd5064f0,2023,2,2023-02,275,49,226,181,35,146,,,
4d12cd266da5,2023,2,2023-02,92,5,87,50,2,48,,,
4d64bd75d78d,2023,2,2023-02,163,14,149,88,7,81,,,
4df3b89bec85,2023,2,2023-02,588,174,414,287,110,177,,,
4e8ba5a61e10,2023,2,2023-02,28,10,18,15,6,9,,,
5328a98e029e,2023,2,2023-02,177,12,165,106,7,99,,,
564bc425c1db,2023,2,2023-02,0,0,0,0,0,0,,,
593cf3eb62b6,2023,2,2023-02,65,12,53,32,3,29,,,
